obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
140,0.02377,0.02375,15844.078397120002,1986.1105265799997,0.023726,0.023774,2016-06-11 09:16:31,71.716,107.06,211000.0
141,0.02377,0.02375,15894.578397120002,1981.8344150799996,0.023726,0.023773,2016-06-11 09:16:39,71.716,220.516,211000.0
142,0.02377,0.02375,15894.578397120002,1986.2105265799996,0.023726,0.023771,2016-06-11 09:16:48,56.949,220.516,211000.0
143,0.02377,0.02375,15894.578397120002,1986.2105265799996,0.023751,0.023771,2016-06-11 09:16:56,168.461,220.516,211000.0
144,0.02377,0.02375,15894.578397120002,1986.0479648699998,0.02372,0.023771,2016-06-11 09:17:04,71.889,220.516,211000.0
145,0.02377,0.02375,15894.578397120002,1986.0479648699998,0.02375,0.02377,2016-06-11 09:17:12,172.03,138.204,211000.0
146,0.02377,0.02375,15843.385197120002,1985.9679648699996,0.02375,0.023767,2016-06-11 09:17:21,147.728,63.326,211000.0
147,0.02377,0.02375,15843.268687130003,1985.9679648699996,0.023726,0.023763,2016-06-11 09:17:30,71.463,63.326,211000.0
148,0.02377,0.02375,15843.268687130003,1977.2005148699996,0.023726,0.023762,2016-06-11 09:17:38,71.463,46.82,211000.0
149,0.02377,0.02375,15842.568687130002,1937.9005148699996,0.023726,0.02376,2016-06-11 09:17:46,71.463,46.77,211000.0
150,0.02377,0.02375,15843.268687130003,1972.2005148699996,0.023766,0.023807,2016-06-11 09:17:54,116.115,206.117,211000.0
151,0.02377,0.02375,15864.059751370001,1985.9679648099998,0.023788,0.023807,2016-06-11 09:18:02,157.1,206.117,211000.0
152,0.02377,0.02375,15819.08074742,1913.19092607,0.023757,0.023807,2016-06-11 09:18:10,71.781,59.323,211000.0
153,0.02377,0.02375,15724.73667038,1950.5949260199995,0.023772,0.023806,2016-06-11 09:18:18,71.468,104.934,211000.0
154,0.02377,0.02375,15918.87087038,1915.66396483,0.023736,0.023805,2016-06-11 09:18:26,71.902,135.263,211000.0
155,0.02377,0.02375,15918.87087038,1952.9679648299996,0.023741,0.023803,2016-06-11 09:18:34,71.595,135.263,211000.0
156,0.02377,0.02375,15862.79087038,1937.6443654699997,0.023688,0.023802,2016-06-11 09:18:42,3.75,86.874,211000.0
157,0.02377,0.02375,15840.65894038,1937.6443654699997,0.023693,0.0238,2016-06-11 09:18:50,12.61,63.326,211000.0
158,0.02377,0.02375,15724.03667038,1900.3403654699998,0.023699,0.023798,2016-06-11 09:18:58,13.93,63.326,211000.0
159,0.02377,0.02375,15867.834770380001,1939.6403654699996,0.023716,0.023791,2016-06-11 09:19:08,6.85,63.326,211000.0
160,0.02377,0.02375,15867.834770380001,1939.6403654699996,0.023726,0.023772,2016-06-11 09:19:16,71.612,21.381,211000.0
161,0.02377,0.02375,15878.334770380001,1938.6197002599997,0.023731,0.023771,2016-06-11 09:19:24,71.977,176.722,211000.0
162,0.02377,0.02375,15918.334770380001,1939.6403654699996,0.023733,0.023771,2016-06-11 09:19:32,71.897,176.722,211000.0
163,0.02377,0.02375,15862.95477038,1934.6403655199995,0.023734,0.023771,2016-06-11 09:19:40,18.705,21.923,211000.0
164,0.02377,0.02375,15913.61894038,1934.6403655199995,0.023734,0.02377,2016-06-11 09:19:47,34.428,135.263,211000.0
165,0.02377,0.02375,15915.22894038,1946.1965148799995,0.023707,0.02385,2016-06-11 09:19:55,11.05,63.326,211000.0
166,0.02377,0.02375,15720.76667038,1946.1965148799995,0.023717,0.023792,2016-06-11 09:20:03,14.79,21.388,211000.0
167,0.02377,0.02375,15826.07279038,1946.1965148799995,0.023728,0.023848,2016-06-11 09:20:11,9.9,63.326,211000.0
168,0.02377,0.02375,15913.37279038,1906.8965148799998,0.02373,0.023847,2016-06-11 09:20:19,6.15,135.263,211000.0
169,0.02377,0.02375,15649.56112556,1955.0639648499996,0.023734,0.023818,2016-06-11 09:20:27,71.375,198.589,211000.0
170,0.02377,0.02375,15843.371335570002,1955.0639648499996,0.023735,0.023847,2016-06-11 09:20:36,3.629,198.589,211000.0
171,0.02377,0.02375,15843.371335570002,1955.0639648499996,0.02374,0.023847,2016-06-11 09:20:44,71.757,198.589,211000.0
172,0.02377,0.02375,15842.112024670003,1954.9639648399996,0.023722,0.023845,2016-06-11 09:20:51,71.837,135.263,211000.0
173,0.02377,0.02375,15778.797021780001,1948.5918533699996,0.023727,0.023821,2016-06-11 09:21:00,71.662,21.923,211000.0
174,0.02377,0.02375,15436.497883910002,1981.4345705899996,0.023728,0.023839,2016-06-11 09:21:09,71.58,17.086,211000.0
175,0.02377,0.02375,15436.497883910002,1981.4345705899996,0.023729,0.02382,2016-06-11 09:21:17,31.006,21.392,211000.0
176,0.02377,0.02375,15436.497883910002,1981.4345705899996,0.023734,0.023836,2016-06-11 09:21:25,71.285,5.0,211000.0
177,0.02377,0.02375,15845.684269650003,1981.4345705899996,0.023735,0.023833,2016-06-11 09:21:34,6.906,198.589,211000.0
178,0.02377,0.02375,15768.884269650001,1981.4345705899996,0.02374,0.02383,2016-06-11 09:21:42,71.961,3.88,211000.0
179,0.02377,0.02375,15845.684269650003,1981.4345705899996,0.02374,0.023828,2016-06-11 09:21:50,71.961,1.78,211000.0
180,0.02377,0.02375,15845.684269650003,1981.4345705899996,0.023693,0.023826,2016-06-11 09:21:58,71.407,1.78,211000.0
181,0.02377,0.02375,15768.884269650001,1981.4345705899996,0.023699,0.023779,2016-06-11 09:22:06,71.911,135.263,211000.0
182,0.02377,0.02375,15845.684269650003,1981.4345705899996,0.023699,0.023779,2016-06-11 09:22:14,71.911,135.263,211000.0
183,0.02377,0.02375,15845.684269650003,1981.4345705899996,0.0237,0.023769,2016-06-11 09:22:23,19.876,21.383,211000.0
184,0.02377,0.02375,15877.184269650003,1981.4345705899996,0.023705,0.023769,2016-06-11 09:22:31,71.6,21.383,211000.0
185,0.02377,0.02375,15877.184269650003,1979.4385705899995,0.023706,0.023768,2016-06-11 09:22:39,33.033,135.263,211000.0
186,0.02377,0.02375,15877.184269650003,1981.4345705899996,0.023712,0.023816,2016-06-11 09:22:47,6.11,63.326,211000.0
