obs,btce_ETH_buy,btce_ETH_sell,btce_ETH_depth_bid,btce_ETH_depth_ask,K_bid,k_ask,k_time,k_bid_vol,k_ask_vol,uc_trans
117,0.02265,0.02249,8815.193353300001,3396.5894874100004,0.02265,0.022652,2016-06-12 10:27:40,129.058,38.736,211000.0
118,0.02265,0.0225,9062.416049700001,3396.5894874100004,0.02265,0.022652,2016-06-12 10:27:49,129.058,38.736,211000.0
119,0.02265,0.0225,9049.463217760001,3431.441752840001,0.02265,0.022651,2016-06-12 10:27:58,129.058,4.917,211000.0
120,0.02265,0.0225,9049.463523380002,3415.8870541100005,0.02265,0.022651,2016-06-12 10:28:06,129.058,4.917,211000.0
121,0.02264,0.0225,9049.463523380002,3416.9303011400007,0.02265,0.022651,2016-06-12 10:28:15,128.015,4.917,211000.0
122,0.02264,0.0225,9049.463523380002,3182.641331140001,0.02265,0.022651,2016-06-12 10:28:23,128.015,4.917,211000.0
123,0.02265,0.0225,9049.463523380002,3181.702600780001,0.02265,0.022651,2016-06-12 10:28:31,128.015,4.917,211000.0
124,0.02265,0.02246,8914.103523380001,3415.8870541100005,0.022545,0.022641,2016-06-12 10:28:39,68.198,4.917,211000.0
125,0.02265,0.02247,8942.84590338,3415.6308760200004,0.022551,0.022641,2016-06-12 10:28:48,68.38,4.917,211000.0
126,0.02265,0.02247,8800.647744490001,3415.6308760200004,0.022551,0.022641,2016-06-12 10:28:56,68.38,4.917,211000.0
127,0.02265,0.02246,8903.784912820001,3415.6308760200004,0.022551,0.022636,2016-06-12 10:29:04,68.38,68.413,211000.0
128,0.02265,0.02246,8903.784912820001,3415.6308760200004,0.02254,0.022636,2016-06-12 10:29:12,61.741,68.413,211000.0
129,0.02265,0.02246,8903.785039600001,3423.281767520001,0.02254,0.022636,2016-06-12 10:29:20,61.741,68.413,211000.0
130,0.02265,0.02246,8903.785039600001,3423.281767520001,0.02254,0.022625,2016-06-12 10:29:28,61.741,68.329,211000.0
131,0.02265,0.02246,8812.38206663,3423.281767520001,0.02254,0.022625,2016-06-12 10:29:36,61.741,68.329,211000.0
132,0.02265,0.02246,8812.38206663,3423.281767520001,0.02254,0.022625,2016-06-12 10:29:44,61.741,68.329,211000.0
133,0.02265,0.02247,8838.32574163,3423.281767510001,0.02254,0.022625,2016-06-12 10:29:52,61.741,68.329,211000.0
134,0.02265,0.02247,8838.32574163,3422.6871050900004,0.02254,0.022625,2016-06-12 10:30:01,61.741,68.329,211000.0
135,0.02265,0.02247,8951.56817152,3422.6871050800005,0.02254,0.022625,2016-06-12 10:30:08,61.741,68.329,211000.0
136,0.02265,0.02247,8951.56817152,3427.223454200001,0.02254,0.022619,2016-06-12 10:30:18,61.741,68.399,211000.0
137,0.02265,0.02246,8775.10506127,3422.6871050800005,0.02254,0.022619,2016-06-12 10:30:27,61.741,68.399,211000.0
138,0.02265,0.02246,8902.155655540002,3422.6871050800005,0.02254,0.022619,2016-06-12 10:30:35,61.741,68.399,211000.0
139,0.02265,0.02246,8902.155655540002,3422.6871050800005,0.02254,0.022651,2016-06-12 10:30:42,82.158,200.0,211000.0
140,0.02265,0.02247,8934.43389054,3422.6871050800005,0.02254,0.022651,2016-06-12 10:30:50,61.741,200.0,211000.0
141,0.02265,0.02247,8935.630995540001,3422.6871050800005,0.022581,0.02265,2016-06-12 10:30:59,20.41,150.0,211000.0
142,0.02265,0.02247,8935.603695540001,3422.6871050800005,0.022586,0.02265,2016-06-12 10:31:08,68.224,111.0,211000.0
